STATE,SA2NAME,Mean,Lowest quintile,Second quintile,Third quintile,Fourth quintile,Highest quintile,Median,AusRanking,StateRanking
QLD,Coopers Plains,5959,1882,4079,5560,7203,11056,5537,1252,233
QLD,Moorooka,4638,1160,2735,4066,5748,9477,4068,496,38
QLD,Robertson,6823,1868,4053,6028,8366,13773,6030,1447,300
QLD,Salisbury - Nathan,6094,2204,4069,5513,7330,11344,5495,1236,225
QLD,Tarragindi,6337,2097,4016,5632,7673,12259,5625,1294,244
QLD,Algester,6858,2828,4827,6310,8142,12176,6284,1545,341
QLD,Calamvale - Stretton,7145,2451,4826,6401,8416,13626,6394,1577,361
QLD,Pallara - Willawong,7316,2506,4757,6371,8424,14489,6341,1554,347
QLD,Parkinson - Drewvale,8247,3427,5909,7658,9762,14481,7679,1866,472
QLD,Rocklea - Acacia Ridge,5733,2012,3843,5187,6748,10865,5195,1092,180
QLD,Kuraby,7844,3280,5551,7141,9152,14084,7112,1772,431
QLD,Runcorn,6271,2626,4566,5851,7403,10906,5816,1362,266
QLD,Sunnybank,6395,2099,4280,5773,7688,12127,5755,1343,259
QLD,Sunnybank Hills,6933,2703,4781,6276,8133,12766,6280,1541,339
QLD,Jindalee - Mount Ommaney,8141,3049,5408,7355,9570,15312,7369,1816,448
QLD,Middle Park - Jamboree Heights,7237,3163,5134,6756,8673,12449,6793,1700,409
QLD,Riverhills,6899,2859,4883,6324,8154,12256,6315,1549,345
QLD,Seventeen Mile Rocks - Sinnamon Park,8272,3267,5735,7468,9693,15184,7432,1826,454
QLD,Westlake,9201,4035,6709,8599,10889,15743,8576,1929,504
QLD,Bellbowrie - Moggill,8137,2821,5485,7394,9695,15281,7377,1818,449
QLD,Brookfield - Kenmore Hills,11442,3213,7271,10079,13624,23001,10091,1955,511
